PROPERTY,,Groves at Milford,,,,,,,,,,,
ADDRESS,,14 Colonial Road,,,,,,,,,,,
INSPECTOR,,Yuscelino Vargas,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Monday, November 11, 2013",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
78,Heat Detector,Apt 7,Livin rm,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-74
79,Heat Detector,Apt 7,Bathrm,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-75
80,Heat Detector,Apt 7,Laundry,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-76
81,Heat Detector,Apt 7,Closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-77
82,Heat Detector,Apt 7,Bedrm 1,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-78
83,Heat Detector,Apt  7,Bedrm 1 closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-79
84,Heat Detector,Apt 7,Bedrm 2,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-80
85,Heat Detector,Apt 7,Bedrm 2 closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-81
86,Heat Detector,2nd fl,By Apt 6,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-82
87,Pull Station,2nd fl,By Apt 6,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-83
88,Heat Detector,Apt 6,Kitchen,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-84
89,Bell,Apt 6,Kitchen,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-85
90,Heat Detector,Apt 6,Livin rm,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-86
91,Heat Detector,Apt 6,Bathrm,TRUE,FALSE,FALSE,,2,Fail,Painted.,,,Fail-5
92,Heat Detector,Apt 6,Laundry,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-87
93,Heat Detector,Apt 6,Closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-88
94,Heat Detector,Apt 6,Bedrm 1,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-89
95,Heat Detector,Apt 6,Bedrm 1 closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-90
