PROPERTY,,Keystone Apartments,,,,,,,,,,,
ADDRESS,,151 Hallet Street,,,,,,,,,,,
INSPECTOR,,Nate Donnelly,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Friday, September 26, 2014",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
153,Heat Detector,4th Floor,Apartment 430,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-154
154,Horn,4th Floor,Apartment 430,TRUE,FALSE,FALSE,,,Pass,,,,Pass-155
155,Smoke Detector,4th Floor,Elevator Seating Area,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-156
156,Smoke Detector,4th Floor,Electrical Rm Right,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-157
157,Heat Detector,4th Floor,Electrical Rm Right,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-158
158,Battery(ies),4th Floor,Electrical Rm Right (ADA),TRUE,FALSE,FALSE,,,Pass,TOP,,,Pass-159
159,Battery(ies),4th Floor,Electrical Rm Right (ADA),TRUE,FALSE,FALSE,,,Fail,CENTER= due to low ah ratings. (2) 12v 7ah,,,Fail-1
160,Battery(ies),4th Floor,Electrical Rm Right (ADA),TRUE,FALSE,FALSE,,,Fail,BOTTOM= due to low ah ratings. (2) 12v 7ah,,,Fail-2
161,Horn Strobe,4th Floor,Hall by Apartment 437,TRUE,FALSE,FALSE,,,Pass,,,,Pass-160
162,Heat Detector,4th Floor,Trash Rm Right,TRUE,FALSE,FALSE,M012,,Fail,Dmaged. Convent. 135.,,,Fail-3
163,Heat Detector,4th Floor,Apartment 437,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-161
164,Horn,4th Floor,Apartment 437,TRUE,FALSE,FALSE,,,Pass,,,,Pass-162
165,Smoke Detector,4th Floor,Hall By Apartment 432,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-163
166,Heat Detector,4th Floor,Apartment 432,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-164
167,Horn,4th Floor,Apartment 432,TRUE,FALSE,FALSE,,,Pass,,,,Pass-165
168,Heat Detector,4th Floor,Apartment 439,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-166
